pfam_accession	pfam_id	description
PF19571.6	ACT_8	ACT domain pair
PF22468.3	ACT_9	ACT domain
PF24931.2	ACT_ACR9_3rd	ACR9-like, ACT-like domain
PF24926.2	ACT_ACR9_C	ACT domain-containing protein ACR9, C-terminal
PF26956.1	ACT_ACR_D1	ACR family N-terminal ACT domain
PF22629.3	ACT_AHAS_ss	AHAS small subunit-like ACT domain
PF24021.1	ACT_phage	Phage ACT-like domain
PF21086.4	ACT_PSP_2	ACT domain
PF26539.1	ACT_YhiD_C	YhiD C-terminal ACT domain
PF18859.7	acVLRF1	Actinobacteria/chloroflexi VLRF1 release factor
PF01643.24	Acyl-ACP_TE	Acyl-ACP thioesterase N-terminal domain
PF20791.4	Acyl-ACP_TE_C	Acyl-ACP thioesterase C-terminal domain
PF21263.3	Acyl-CoA-dh_C	Acyl-CoA dehydrogenase, C-terminal domain
PF00441.30	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain
PF08028.17	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain
PF12806.13	Acyl-CoA_dh_C	Acetyl-CoA dehydrogenase C-terminal like
PF02770.25	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain
PF02771.22	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain
PF14749.12	Acyl-CoA_ox_N	Acyl-coenzyme A oxidase N-terminal
PF12590.14	Acyl-thio_N	Acyl-ATP thioesterase
PF12186.14	AcylCoA_dehyd_C	Acyl-CoA dehydrogenase C terminal
PF00708.25	Acylphosphatase	Acylphosphatase
PF01553.27	Acyltransferase	Acyltransferase
PF19576.5	Acyltransf_2	Acyltransferase
PF16076.11	Acyltransf_C	Acyltransferase C-terminus
PF02551.22	Acyl_CoA_thio	Acyl-CoA thioesterase
PF28265.1	Acyl_LnsA	Lipoprotein N-acylation protein LnsA-like
PF00698.27	Acyl_transf_1	Acyl transferase domain
PF02273.22	Acyl_transf_2	Acyl transferase
PF01757.29	Acyl_transf_3	Acyltransferase domain
PF18883.7	AC_1	Autochaperone Domain Type 1
PF16214.10	AC_N	Adenylyl cyclase N-terminal extracellular and transmembrane region
PF09793.15	AD	Anticodon-binding domain
PF10198.15	Ada3	Histone acetyltransferases subunit 3
PF21299.3	ADAM10_Cys-rich	ADAM10, cysteine-rich domain
PF16698.11	ADAM17_MPD	Membrane-proximal domain, switch, for ADAM17
PF24484.2	ADAMTSL1	ADAMTSL1 domain
PF23178.2	ADAMTS_C	ADAMTS C-terminal helical domain
PF17771.7	ADAMTS_CR_2	ADAMTS cysteine-rich domain 2
PF19236.5	ADAMTS_CR_3	ADAMTS cysteine-rich domain
PF05986.20	ADAMTS_spacer1	ADAM-TS Spacer 1
PF08516.18	ADAM_CR	ADAM cysteine-rich
PF10199.15	Adaptin_binding	Alpha and gamma adaptin binding protein p34
PF01602.27	Adaptin_N	Adaptin N terminal region
PF00928.27	Adap_comp_sub	Adaptor complexes medium subunit family
PF02805.22	Ada_Zn_binding	Metal binding domain of Ada
PF06314.17	ADC	Acetoacetate decarboxylase (ADC)
PF06327.20	Adcy_cons_dom	Adenylate cyclase, conserved domain
PF27467.1	AddB_5th	ATP-dependent helicase/deoxyribonuclease AddB fifth domain
PF21445.4	ADDB_N	ADDB, N-terminal
PF18724.7	ADDT	Amino acid:DNA transferase
PF17981.8	ADD_ATRX	Cysteine Rich ADD domain
PF17980.8	ADD_DNMT3	DNMT3, cysteine rich ADD domain, GATA1-like zinc finger
PF13382.12	Adenine_deam_C	Adenine deaminase C-terminal domain
PF03352.19	Adenine_glyco	Methyladenine glycosylase
PF04008.20	Adenosine_kin	Adenosine specific kinase
PF27706.1	Adenovirus-41_E3	Adenovirus 41, E3-31.6kDa protein
PF02438.22	Adeno_100	Late 100kD protein
PF03052.21	Adeno_52K	Adenoviral protein L1 52/55-kDa
PF02703.22	Adeno_E1A	Early E1A protein
PF01691.22	Adeno_E1B_19K	Adenovirus E1B 19K protein / small t-antigen
PF01696.24	Adeno_E1B_55K	Adenovirus EB1 55K protein / large t-antigen
PF04623.18	Adeno_E1B_55K_N	Adenovirus E1B protein N-terminus
PF06040.17	Adeno_E3	Adenovirus E3 protein
PF05248.18	Adeno_E3A	Adenovirus E3A
PF03376.20	Adeno_E3B	Adenovirus E3B protein
PF04834.19	Adeno_E3_14_5	Early E3 14.5 kDa protein
PF03307.21	Adeno_E3_15_3	Adenovirus 15.3kD protein in E3 region
PF02440.22	Adeno_E3_CR1	Adenovirus E3 region protein CR1
PF02439.21	Adeno_E3_CR2	Adenovirus E3 region protein CR2
PF05385.18	Adeno_E4	Mastadenovirus early E4 13 kDa protein
PF04528.21	Adeno_E4_34	Adenovirus early E4 34 kDa protein conserved region
PF06931.18	Adeno_E4_ORF3	Mastadenovirus E4 ORF3 protein
PF04881.21	Adeno_GP19K	Adenovirus GP19K
PF01065.25	Adeno_hexon	Hexon, adenovirus major coat protein, N-terminal domain
PF03678.23	Adeno_hexon_C	Hexon, adenovirus major coat protein, C-terminal domain
PF02456.22	Adeno_IVa2	Adenovirus IVa2 protein
PF00541.25	Adeno_knob	Adenoviral fibre protein (knob domain)
PF11081.13	Adeno_L433K_22K	Adenovirus L4-33K/L4-22K
PF01686.24	Adeno_Penton_B	Adenovirus penton base protein
PF03955.21	Adeno_PIX	Adenovirus hexon-associated protein (IX)
PF03910.21	Adeno_PV	Adenovirus minor core protein PV
PF01310.24	Adeno_PVIII	Adenovirus hexon associated protein, protein VIII
PF05829.19	Adeno_PX	Adenovirus late L2 mu core protein (Protein X)
PF00608.23	Adeno_shaft	Adenoviral fibre protein (repeat/shaft region)
PF02459.21	Adeno_terminal	Adenoviral DNA terminal protein
PF03228.20	Adeno_VII	Adenoviral core protein VII
PF16579.12	AdenylateSensor	Adenylate sensor of SNF1-like protein kinase
PF01295.25	Adenylate_cycl	Adenylate cyclase, class-I, second domain
PF26690.1	Adenylate_cycl_3rd	Adenylate cyclase, class-I, third domain
PF26691.1	Adenylate_cycl_4th	Adenylate cyclase, class-I, fourth domain
PF26693.1	Adenylate_cycl_C	Adenylate cyclase, class-I, C-terminal
PF00709.28	Adenylsucc_synt	Adenylosuccinate synthetase
PF12633.14	Adenyl_cycl_N	Adenylate cyclase NT domain
PF04439.19	Adenyl_transf	Streptomycin adenylyltransferase
PF19582.5	AdeT1_2	Solute-binding protein AdeT 1/2
PF23813.2	AdfA	Anti-DarT factor A
PF27521.1	ADGRF2P_N	ADGRF2P-like, N-terminal domain
PF25387.2	ADGRF3_N	ADGRF3-like, N-terminal domain
PF26152.1	ADGRG2_N	ADGRG2, N-terminal domain
PF16812.11	AdHead_fibreRBD	C-terminal head domain of the fowl adenovirus type 1 long fibre
PF09085.17	Adhes-Ig_like	Adhesion molecule, immunoglobulin-like
PF04619.19	Adhesin_Dr	Dr-family adhesin
PF16747.11	Adhesin_E	Surface-adhesin protein E
PF03257.19	Adhesin_P1_C	Mycoplasma adhesin P1, C-terminal
PF18652.7	Adhesin_P1_N	Adhesin P1 N-terminal domain
PF25137.1	ADH_Fe_C	Fe-containing alcohol dehydrogenase family, C-terminal
PF08240.18	ADH_N	Alcohol dehydrogenase GroES-like domain
PF16884.11	ADH_N_2	N-terminal domain of oxidoreductase
PF00106.32	adh_short	short chain dehydrogenase
PF13561.13	adh_short_C2	Enoyl-(Acyl carrier protein) reductase
PF00107.33	ADH_zinc_N	Zinc-binding dehydrogenase
PF13602.13	ADH_zinc_N_2	Zinc-binding dehydrogenase
PF02274.23	ADI	Arginine deiminase
PF11559.14	ADIP	Afadin- and alpha -actinin-Binding
PF15202.11	Adipogenin	Adipogenin
PF06377.17	Adipokin_hormo	Adipokinetic hormone
PF00406.30	ADK	Adenylate kinase
PF05191.21	ADK_lid	Adenylate kinase, active site lid
PF19627.5	ADNP_N	Activity-dependent neuroprotector homeobox protein N-terminal
PF05221.24	AdoHcyase	S-adenosyl-L-homocysteine hydrolase
PF00670.28	AdoHcyase_NAD	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
PF08132.17	AdoMetDC_leader	S-adenosyl-l-methionine decarboxylase leader peptide
PF02675.22	AdoMet_dc	S-adenosylmethionine decarboxylase 
PF07757.19	AdoMet_MTase	Predicted AdoMet-dependent methyltransferase
PF01941.25	AdoMet_Synthase	S-adenosylmethionine synthetase (AdoMet synthetase)
PF03496.21	ADPrib_exo_Tox	ADP-ribosyltransferase exoenzyme
PF18648.9	ADPRTs_Tse2	Tse2 ADP-ribosyltransferase toxin
PF04587.21	ADP_PFK_GK	ADP-specific Phosphofructokinase/Glucokinase conserved region
PF03747.20	ADP_ribosyl_GH	ADP-ribosylglycohydrolase
PF25662.1	AdSDV_VP1	Densovirus VP1 protein
PF10397.15	ADSL_C	Adenylosuccinate lyase C-terminus
PF25379.2	Adt-1	Adt-1-like domain
PF20032.5	ADYC	ADYC domain
PF08509.17	Ad_cyc_g-alpha	Adenylate cyclase G-alpha binding domain
PF16701.11	Ad_Cy_reg	Adenylate cyclase regulatory domain
PF06355.19	Aegerolysin	Aegerolysin
PF25001.2	Aegyptin_C	Aegyptin, C-terminal domain
PF24387.2	AEP-like	Archaeo-eukaryotic primase 1D-like
PF22548.3	AEP-TOTE	TOTE conflict system, Archaeo-Eukaryotic Primase domain 
PF17049.11	AEP1	ATPase expression protein 1
PF23162.2	AEP_C962R	C962R protein N-terminal AEP domain
PF01117.26	Aerolysin	Aerolysin toxin
PF05110.19	AF-4	AF-4 proto-oncoprotein N-terminal region
PF27426.1	AF0631_C	AF0631-like C-terminal four-helix domain
PF27425.1	AF0631_N	AF0631-like N-terminal beta-barrel domain
PF27411.1	AF0772_C	AF0772-like protein C-terminal domain
PF27410.1	AF0774	AF0774-like protein
PF27424.1	AF0891	AF0891-like three-helix membrane protein
PF14591.12	AF0941-like	AF0941-like
PF22357.3	AF1548-like_C	AF1548-like, C-terminal
PF27423.1	AF1633	AF1633-like membrane protein
PF27409.1	AF2028_3rd	AF2028-like protein third domain
PF27408.1	AF2028_C	AF2028-like protein C-terminal domain
PF27422.1	AF2210	AF2210-like protein
PF01954.23	AF2212-like	AF2212-like
PF14556.12	AF2331-like	AF2331-like protein
PF18875.6	AF4_int	AF4 interaction motif
PF05775.20	AfaD	Enterobacteria AfaD invasin protein
PF15339.12	Afaf	Acrosome formation-associated factor
PF22394.3	AfAlkA-like_TBP-like	AfAlkA-like, TATA-box binding protein-like domain
PF26705.1	AFDN	Afadin-like domain
PF18876.7	AFF4_CHD	AFF4, C-terminal homology domain
PF03969.23	AFG1_ATPase	AFG1-like ATPase
PF07792.18	Afi1	Docking domain of Afi1 for Arf3 in vesicle trafficking
PF08493.16	AflR	Aflatoxin regulatory protein
PF01314.24	AFOR_C	Aldehyde ferredoxin oxidoreductase, domains 2 & 3
PF02730.21	AFOR_N	Aldehyde ferredoxin oxidoreductase, N-terminal domain
PF02420.21	AFP	Insect antifreeze protein repeat
PF18815.7	AFP_2	Bacterial antifreeze protein repeat
PF03756.20	AfsA	A-factor biosynthesis hotdog domain
PF08731.18	AFT	Transcription factor AFT
PF11786.14	Aft1_HRA	Aft1 HRA domain
PF11787.14	Aft1_HRR	Aft1 HRR domain
PF11785.14	Aft1_OSA	Aft1 osmotic stress response (OSM) domain
PF12249.14	AftA_C	Arabinofuranosyltransferase A C terminal
PF12250.15	AftA_N	Arabinofuranosyltransferase N terminal
PF26371.1	AftB_C	AftB family C-terminal domain
PF11001.15	AFUB_07903_YDR124W_hel	YDR124W-like, helical bundle domain
PF27352.1	AF_0059	AF_0059 family
PF27313.1	AF_0136_C	AF_0136 family C-terminal domain
PF27315.1	AF_0136_N	AF_0136 family N-terminal domain
PF27217.1	AF_0155	AF_0155 Rossmann-like domain
PF27236.1	AF_0334	Uncharacterized protein AF_0334 family
PF27375.1	AF_0414	AF_0414 family
PF22176.3	AF_0587-like_pre-PUA	AF_0587-like, pre-PUA domain
PF27245.1	AF_0692	Uncharacterized membrane protein AF_0692 family
PF27297.1	AF_0843	Archaeal AF_0843 family
PF27341.1	AF_0896_M	AF_0896 family middle domain
PF22185.2	AF_0924	Uncharacterized protein AF_0924
PF27382.1	AF_0970	AF_0970 family
PF27327.1	AF_1016	AF_1016 family
PF27253.1	AF_1253	Uncharacterized protein AF_1253 family
PF27384.1	AF_1283	AF_1283 family
PF27252.1	AF_1314_C	Uncharacterized protein AF_1314, C-terminal domain
PF27271.1	AF_1327	Uncharacterized membrane protein AF_1327 family
PF27350.1	AF_1447	AF_1447 domain
PF27291.1	AF_1457	Archaeal AF_1457 family
PF27259.1	AF_1499	Uncharacterized membrane protein AF_1499 family
PF27293.1	AF_1575	Archaeal AF_1575 family
PF27237.1	AF_1625_C	Uncharacterized protein AF_1625, C-terminal domain
PF27235.1	AF_1680	Uncharacterized protein AF_1680 family
PF21768.5	AF_1763-like_C	AF_1763-like, C-terminal domain
PF27226.1	AF_1845	AF_1845 START domain-like
PF27225.1	AF_1859_N	AF_1859 N-terminal domain
PF27311.1	AF_1994_N	AF_1994 family N-terminal domain
PF27367.1	AF_2048_N	AF_2048 family N-terminal domain
PF27374.1	AF_2141	AF_2141 family
PF21682.3	AF_2299-like_N	CDP-alcohol phosphatidyltransferase AF_2299-like, N-terminal
PF27306.1	AF_2379	AF_2379 family
PF27302.1	AF_2407	AF_2407 family
PF04671.18	Ag332	Erythrocyte membrane-associated giant protein antigen 332 
PF21254.4	AGA-YXIM_GBD	Beta-agarase/YXIM esterase-like, galactose-binding domain-like
PF17366.8	AGA2	A-agglutinin-binding subunit Aga2
PF21994.2	AGAO-like_N2	AGAO-like N2 domain
PF17992.8	Agarase_CBM	Agarase CBM like domain
PF25117.1	Agd3_C	Agd3 C-terminal domain
PF25115.2	Agd3_CE	Agd3 deacetylase domain
PF05641.19	Agenet	Agenet domain
PF07468.18	Agglutinin	Agglutinin domain
PF18021.8	Agglutinin_C	Agglutinin C-terminal
PF17558.8	AGH	Androgenic gland hormone
PF17998.8	AgI_II_C2	Cell surface antigen I/II C2 terminal domain
PF19712.5	AGK_C	Acylglycerol kinase C-terminal
PF26681.1	Agl23_C	Agl23 flippase-associated protein C-terminal domain
PF22627.1	AglB_core-like	AglB core domain
PF18079.7	AglB_L1	Archaeal glycosylation protein B long peripheral domain
PF24858.2	AGMP_C	Alkylglycerol monooxygenase C-terminal domain
PF09171.17	AGOG	N-glycosylase/DNA lyase
PF05039.19	Agouti	Agouti protein
PF10427.15	Ago_hook	Argonaute hook
PF22474.3	Ago_Mid	Argonaute, middle domain
PF22362.2	Ago_MID_bact	Argonaute, middle domain, bacteria
PF18236.7	AGO_N	Argonaute N domain
PF18351.7	Ago_N_1	Fungal Argonaute N-terminal domain
PF22472.2	Ago_N_2	Argonaute, N-terminal domain
PF22476.2	Ago_N_3	Argonaute, N-terminal domain
PF22333.3	Ago_PAZ_arc	Argonaute, PAZ domain, archaea
PF06376.18	AGP	Arabinogalactan peptide
PF28140.1	AGP40	Arabinogalactan protein 40
PF18746.7	aGPT-Pplase3	Alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 3
PF04647.21	AgrB	Accessory gene regulator B
PF19188.6	AGRB_N	Adhesion GPCR B N-terminal region
PF05931.16	AgrD	Staphylococcal AgrD protein
PF04730.17	Agro_virD5	Agrobacterium VirD5 protein
PF18134.8	AGS_C	Adenylyl/Guanylyl and SMODS C-terminal sensor domain
PF11440.15	AGT	DNA alpha-glucosyltransferase
PF06396.17	AGTRAP	Angiotensin II, type I receptor-associated protein (AGTRAP)
PF09229.18	Aha1_N	Activator of Hsp90 ATPase, N-terminal
PF25911.1	AHC1_C	AHC1 C-terminal domain
PF25910.1	AHC1_N	AHC1 N-terminal
PF17793.7	AHD	ANC1 homology domain (AHD)
PF14412.13	AHH	A nuclease family of the HNH/ENDO VII superfamily with conserved AHH
PF18743.8	AHJR-like	REase_AHJR-like
PF17327.8	AHL_synthase	Acyl homoserine lactone synthase
PF00578.28	AhpC-TSA	AhpC/TSA family
PF13911.13	AhpC-TSA_2	AhpC/TSA antioxidant enzyme
PF08327.18	AHSA1	Activator of Hsp90 ATPase homolog 1-like protein
PF09236.16	AHSP	Alpha-haemoglobin stabilising protein
PF21423.3	AhtL-like_1st	Pyrogallol hydroxytransferase large subunit-like, domain 1
PF21986.2	AH_C	Allophanate hydrolase C-terminal domain
PF01594.23	AI-2E_transport	AI-2E family transporter
PF21368.4	AI2M-like_HNH	AI2M/AI1M-like, HNH endonuclease
PF15334.12	AIB	Aurora kinase A and ninein interacting protein
PF01808.25	AICARFT_IMPCHas	AICARFT/IMPCHase bienzyme
PF08210.19	AID	Activation-induced cytidine deaminase (AID)
PF16168.12	AIDA	Adhesin of bacterial autotransporter system, probable stalk 
PF14186.13	Aida_C2	Axin interactor dorsalisation-associated protein, C-terminal
PF08910.16	Aida_N	Aida N-terminus
PF18158.7	AidB_N	Adaptive response protein AidB N-terminal domain
PF21008.4	AIF-1	Allograft inflammatory factor 1
PF14962.12	AIF-MLS	Mitochondria Localisation Sequence
PF14721.13	AIF_C	Apoptosis-inducing factor, mitochondrion-associated, C-term
PF04548.23	AIG1	AIG1 family
PF13772.12	AIG2_2	AIG2-like family
PF06316.17	Ail_Lom	Enterobacterial Ail/Lom protein
PF28272.1	AIM11_N	AIM11 N-terminal domain
PF10315.15	Aim19	Altered inheritance of mitochondria protein 19 
PF11489.14	Aim21	Altered inheritance of mitochondria protein 21 
PF01987.24	AIM24	Mitochondrial biogenesis AIM24
PF17096.11	AIM3	Altered inheritance of mitochondria protein 3
PF25459.2	AIM3_BBC1_C	AIM3/BBC1 Cysteine proteinase-fold domain
PF17050.11	AIM5	Altered inheritance of mitochondria 5
PF21568.4	AIMA-like_N	1,3-alpha-isomaltosidase-like, N-terminal domain
PF16780.11	AIMP2_LysRS_bd	AIMP2 lysyl-tRNA synthetase binding domain
PF22871.3	AimR	AimR transcriptional regulator-like
PF03915.19	AIP3	Actin interacting protein 3
PF23153.2	Aip3p_Bud6_N	Aip3p/Bud6 N-terminal domain
PF10592.15	AIPR	AIPR protein
PF22879.2	AIPR_N	Abortive infection phage resistance protein N-terminal domain
PF21759.4	AIR2-like_ZnK4	AIR2-like, CCHC-type 1 zinc finger 4
PF00731.27	AIRC	AIR carboxylase
PF00586.30	AIRS	AIR synthase related protein, N-terminal domain
PF02769.28	AIRS_C	AIR synthase related protein, C-terminal domain
PF15298.12	AJAP1_PANP_C	AJAP1/PANP C-terminus
PF26649.1	Ajm-1	Apical junction molecule ajm-1 alpha/beta domain
PF27982.1	AJM1_C	Apical junction component 1 C-terminal domain
PF14469.12	AKAP28	28 kDa A-kinase anchor 
PF15304.12	AKAP2_C	A-kinase anchor protein 2 C-terminus
PF10469.16	AKAP7_NLS	AKAP7 2'5' RNA ligase-like domain
PF10470.15	AKAP7_RIRII_bdg	PKA-RI-RII subunit binding domain of A-kinase anchor protein
PF04988.18	AKAP95	A-kinase anchoring protein 95 (AKAP95)
PF27603.1	AKAP9_C	AKAP9 C-terminal domain
PF27598.1	AKAP9_coil_N	AKAP9 N-terminal coiled coil domain
PF05716.19	AKAP_110	A-kinase anchor protein 110 kDa (AKAP 110)
PF27911.1	AKIP1	A-kinase-interacting protein 1
PF12443.14	AKNA	AT-hook-containing transcription factor
PF26023.1	ALA1	Alanine--tRNA ligase domain
PF00490.28	ALAD	Delta-aminolevulinic acid dehydratase
PF01262.28	AlaDh_PNT_C	Alanine dehydrogenase/PNT, C-terminal domain
PF05222.22	AlaDh_PNT_N	Alanine dehydrogenase/PNT, N-terminal domain
PF06610.19	AlaE	L-alanine exporter
PF11839.14	Alanine_zipper	Alanine-zipper, major outer membrane lipoprotein
PF00842.28	Ala_racemase_C	Alanine racemase, C-terminal domain
PF01168.27	Ala_racemase_N	Alanine racemase, N-terminal domain
PF09135.17	Alb1	Alb1
PF01918.28	Alba	Alba
PF08027.19	Albumin_I	Albumin I chain b
PF16720.10	Albumin_I_a	Albumin I chain a
PF17527.9	ALC	Phage ALC protein
PF11606.16	AlcCBM31	Family 31 carbohydrate binding protein
PF00171.28	Aldedh	Aldehyde dehydrogenase family
PF01081.26	Aldolase	KDPG and KHG aldolase
PF00596.28	Aldolase_II	Class II Aldolase and Adducin N-terminal domain
PF01263.27	Aldose_epim	Aldose 1-epimerase
PF00248.28	Aldo_ket_red	Aldo/keto reductase family
PF11266.16	Ald_deCOase	Long-chain fatty aldehyde decarbonylase
PF01315.28	Ald_Xan_dh_C	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF23180.2	ALE2_N	Receptor-like PK ALE2 N-terminal domain
PF03752.19	ALF	Short repeats of unknown function
PF12165.14	Alfin	Alfin 
PF15924.12	ALG11_N	ALG11 mannosyltransferase N-terminus
PF08660.18	Alg14	Oligosaccharide biosynthesis protein Alg14 like
PF22686.2	Alg17C_C	Exo-oligoalginate lyase-like, C-terminal domain
PF05208.20	ALG3	ALG3 protein
PF03155.22	Alg6_Alg8	ALG6, ALG8 glycosyltransferase family
PF11182.15	AlgF	Alginate O-acetyl transferase AlgF 
PF13372.13	Alginate_exp	Alginate export 
PF05426.19	Alginate_lyase	Alginate lyase
PF08787.19	Alginate_lyase2	Alginate lyase
PF27483.1	AlgK_TPR	AlgK tetratricopeptide repeat domain
PF27285.1	AlgP_helical	AlgP helical domain
PF16822.12	ALGX	SGNH hydrolase-like domain, acetyltransferase AlgX
PF13949.12	ALIX_LYPXL_bnd	ALIX V-shaped domain binding to HIV 
PF06029.18	AlkA_N	AlkA N-terminal domain
PF27981.1	ALKBH10B_N	RNA demethylase ALKBH10B N-terminal domain
PF09004.16	ALKBH8_N	Alkylated DNA repair protein alkB homolog 8, N-terminal
PF15129.12	ALKL1_2	ALK and LTK ligand 1/2
PF14864.12	Alkyl_sulf_C	Alkyl sulfatase C-terminal
PF14863.13	Alkyl_sulf_dimr	Alkyl sulfatase dimerisation
PF06224.19	AlkZ-like	DNA glycosylase AlkZ-like
PF24741.2	AlkZ-rel	AlkZ related
PF12810.14	ALK_LTK_GRD	ALK/LTK, Glycine-rich domain
PF00245.26	Alk_phosphatase	Alkaline phosphatase
PF26751.1	All-alpha_MIP2	MIP2 all alpha domain
PF03561.22	Allantoicase	Allantoicase repeat
PF05953.18	Allatostatin	Allatostatin
PF06351.17	Allene_ox_cyc	Allene oxide cyclase
PF25312.2	Allergen_Asp_f_4	Allergen Asp f 4-like domain
PF05549.17	Allexi_40kDa	Allexivirus 40kDa protein
PF06545.18	AllG	Oxamate carbamoyltransferase subunit AllG
PF11392.15	AllH	Oxamate carbamoyltransferase subunit AllH
PF04864.20	Alliinase_C	Allinase
PF15309.12	ALMS_motif	ALMS motif
PF18727.7	ALMS_repeat	Alstrom syndrome repeat
PF11744.15	ALMT	Aluminium activated malate transporter
PF17696.6	ALN	Another-regulin-like
PF24890.2	ALN_composite	Allantoinase, composite domain
PF04030.20	ALO	D-arabinono-1,4-lactone oxidase 
PF04852.18	ALOG_dom	ALOG domain
PF22128.3	Alp7A_like_C	Alp7A C-terminal domain
PF06401.17	Alpha-2-MRAP_C	Alpha-2-macroglobulin RAP, C-terminal domain 
PF06400.17	Alpha-2-MRAP_N	Alpha-2-macroglobulin RAP, N-terminal domain
PF00128.32	Alpha-amylase	Alpha amylase, catalytic domain
PF02806.25	Alpha-amylase_C	Alpha amylase, C-terminal all-beta domain
PF22026.3	Alpha-amylase_C_2	Alpha-amylase C-terminal domain
PF02903.21	Alpha-amylase_N	Alpha amylase, N-terminal ig-like domain
PF09071.16	Alpha-amyl_C	Alpha-amylase, C terminal
PF07821.19	Alpha-amyl_C2	Alpha-amylase C-terminal beta-sheet domain
PF09154.17	Alpha-amy_C_pro	Alpha-amylase C-terminal
PF04168.18	Alpha-E	A predicted alpha-helical domain with a conserved ER motif.
PF14456.12	alpha-hel2	Alpha-helical domain 2
PF06964.19	Alpha-L-AF_C	Alpha-L-arabinofuranosidase C-terminal domain
PF09261.17	Alpha-mann_mid	Alpha mannosidase middle domain
PF08829.15	AlphaC_N	Alpha C protein N terminal
PF17480.8	AlphaC_N2	AlphaC N-terminal domain 2
PF02883.27	Alpha_adaptinC2	Adaptin C-terminal domain
PF02296.23	Alpha_adaptin_C	Alpha adaptin AP2, C-terminal domain
PF01589.22	Alpha_E1_glycop	Alphavirus E1 glycoprotein
PF00943.26	Alpha_E2_glycop	Alphavirus E2 glycoprotein
PF01563.22	Alpha_E3_glycop	Alphavirus E3 glycoprotein
PF03229.19	Alpha_GJ	Alphavirus glycoprotein J
PF18489.8	Alpha_Helical	Alpha helical domain
PF02816.25	Alpha_kinase	Alpha-kinase family
PF01120.24	Alpha_L_fucos	Alpha-L-fucosidase
PF02232.20	Alpha_TIF	Alpha trans-inducing protein (Alpha-TIF) 
PF09608.16	Alph_Pro_TM	Putative transmembrane protein (Alph_Pro_TM)
PF17989.8	ALP_N	Actin like proteins N terminal domain
PF28246.1	Alr0857	Alr0857-like
PF27270.1	Alr1449	Alr1449
